message_id,message_text,category,urgency,cleaned_text
MSG000001,"Hi team, Just checking, Can I change my EMI date and also what is the charge for it",payment_issue,medium,"just checking, can i change my emi date and also what is the charge for it"
MSG000002,"Hello, I made the payment on 31/05/2026. Please look into this soon. uploaded docs but no update Thanks in advance.",kyc,medium,i made the payment on 31/05/2026. please look into this soon. uploaded docs but no update
MSG000003,"Dear sir, Please treat this as urgent. misleading information given Awaitng your response.",complaint,high,please treat this as urgent. misleading information given
MSG000004,"prepay Rs 260,000 how Please advise.
Best regards,
Priya Sharma",payment_issue,high,"prepay rs 260,000 how please advise."
MSG000005,"Dear sir, ticket REF#248865 — Requesting a prompt update. reduce my emi amount Regards.",payment_issue,medium,ticket <ticket> — requesting a prompt update. reduce my emi amount
MSG000006,"Good morning, Please look into this soon. I want to prepay Rs 187,000, what are the foreclosure charges Please advise.",payment_issue,medium,"please look into this soon. i want to prepay rs 187,000, what are the foreclosure charges please advise."
MSG000007,"Dear sir, This is urgent. An unexplained deduction of Rs 285,000 has appeared on my account Kindly help.
Sent from my Android device",complaint,high,"this is urgent. an unexplained deduction of rs 285,000 has appeared on my account kindly help."
MSG000008,"Dear sir, Just checking, what emi for Rs 344,000 Please confirm.
Thanks and regards,
Sneha Reddy
Account holder",loan_query,low,"just checking, what emi for rs 344,000 please confirm."
MSG000009,"Hello, Please revert within a couple of days. address changed after shifting Regards.

-----Original Message-----
From: LoanServe Support
Subject: Re: your query
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",kyc,medium,please revert within a couple of days. address changed after shifting
MSG000010,"Dear sir, This was promised to me on 05-10-2026. Please look into this soon. Why has Rs 885,000 been debited from my account without notice Awaiting your response.",complaint,low,"this was promised to me on 05-10-2026. please look into this soon. why has rs 885,000 been debited from my account without notice"
MSG000011,"Dear madam, Immediate attention needed. passport valid as address proof? Please confirm.

-----Original Message-----
From: LoanServe Support
Subject: Re: your query
> We have received your documents and they are under verification.
> No action is needed from your side at this stage.",kyc,high,immediate attention needed. passport valid as address proof? please confirm.
MSG000012,"Dear sir, want to speak to senior officer Regards.
--
Priya Sharma
Sent from my iPhone

On 10 Jan 2026 at 11:04, Customer Care <care@loanserve.example> wrote:
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",complaint,medium,want to speak to senior officer
MSG000013,"Dear sir, This needs to be resolved today. I want to prepay Rs 770,000, what are the foreclosure charges Please advise.",loan_query,high,"this needs to be resolved today. i want to prepay rs 770,000, what are the foreclosure charges please advise."
MSG000014,"Good morning, Kindly respond at the earliest. insurance compulsory with loan? Awaiting your response.",loan_query,low,kindly respond at the earliest. insurance compulsory with loan?
MSG000015,"Kindly respond at the earliest. My PAN number was entered wrongly during the application Awaiting your response.
Thanks and regards,
Imran Qureshi
Account holder",kyc,medium,kindly respond at the earliest. my pan number was entered wrongly during the application
MSG000016,"Dear sir, Whenever you get a chance, The ECS mandate on my personal loan has stopped working Kindly help. 😡",payment_issue,medium,"whenever you get a chance, the ecs mandate on my personal loan has stopped working kindly help. 😡"
MSG000017,"I visited the branch on 06-10-2025. Just checking, unacceptable delay on LA908001 Awaiting your response. 😊
Sent from my Android device

-----Original Message-----
From: LoanServe Support
Subject: Re: your query
> Thank you for writing in. Your request has been logged and our team
> will revert within 48 working hours.",complaint,low,"i visited the branch on 06-10-2025. just checking, unacceptable delay on <application_ref> awaiting your response. 😊"
MSG000018,"Dear sir, Whenever you get a chance, Is my vehicle loan eligible for a moratorium and how do I apply Regards.

On 14 Jun 2026, LoanServe Support <support@loanserve.example> wrote:
> Please share a scanned copy of your address proof so that we can
> proceed with the update.",loan_query,low,"whenever you get a chance, is my vehicle loan eligible for a moratorium and how do i apply"
MSG000019,"Good morning, ticket REF#726075 — Extremely urgent, please act now. I received a rejection for LA023342 with no justification",complaint,high,"ticket <ticket> — extremely urgent, please act now. i received a rejection for <application_ref> with no justification"
