thread_id,application_reference,turn,sender,category,message_text
THR000001,LA002215,1,customer,kyc,Hi TKT956936 - I was asked for a salary slip for my gold loan but I have already submitted it once. Why is the same salary slip being asked for again? Awaitng your response.
THR000001,LA002215,2,agent,kyc,The salary slip you submitted earlier was against your older application. A salary slip has to be submitted again for this gold loan. https://loanserve.example.in/status
THR000001,LA002215,3,customer,kyc,My reference is LA002215. That is not convenient but I will send the salary slip again. Can I bring the salary slip to the branch instead of uploading it? Awaiting your response.
THR000001,LA002215,4,agent,kyc,"Hello, This is regarding application LA002215. TKT238010 - Yes, the salary slip can be submitted at any branch. The branch will scan the salary slip and attach it to your gold loan application. https://loanserve.example.in/help/kyc Thanks and regards."
THR000002,LA017446,1,customer,payment_issue,"I want to change my emi date to the 7th of the month. My salary is credited late and the present emi date does not suit me. https://loanserve.example.in/status
--
Vikram Rao
Customer"
THR000002,LA017446,2,agent,payment_issue,"Hello, The emi date can be moved to the 7th from the next cycle. A fresh mandate is needed for the changed emi date. Thank you."
THR000002,LA017446,3,customer,payment_issue,"Hello, My reference is LA017446. Please go ahead with the change. Is there any charge for changing the emi date? Thanks."
THR000002,LA017446,4,agent,payment_issue,A charge of Rs 500 applies for changing the emi date. The new emi date takes effect from the next cycle. https://loanserve.example.in/help/kyc Thank you.
THR000002,LA017446,5,customer,payment_issue,"Hello, My reference is LA017446. The charge is acceptable to me. When will the new emi date show in my account? https://loanserve.example.in/help/kyc
Thanks and regards,
Meera Nair"
THR000002,LA017446,6,agent,payment_issue,"Hello, The new emi date will show in your account once the fresh mandate is active. Your emi amount does not change. Thanks and regards.
Thanks and regards,
Kavita Joshi
LoanServe Support"
THR000003,LA007497,1,customer,loan_query,"Dear madam, I have been offered a lower rate by another bank. What is the process to transfer my gold loan to that bank? Thanks in advance.
Sent from my iPhone"
THR000003,LA007497,2,agent,loan_query,This is regarding application LA007497. SR369702 - For a balance transfer of your gold loan we issue a foreclosure letter. The other bank pays the outstanding on your gold loan against that letter.
THR000003,LA007497,3,customer,loan_query,"Hello, REF271643 - How long does the foreclosure letter take? Is there a charge for the balance transfer?
Thanks and regards,
Vikram Rao"
THR000003,LA007497,4,agent,loan_query,"Dear sir, The foreclosure letter is issued within five working days. There is no charge on a floating rate gold loan for a balance transfer. Thanks and regards."
THR000003,LA007497,5,customer,loan_query,"Hello, My reference is LA007497. Please issue the foreclosure letter for my gold loan. Where will the letter be sent? Thanks."
THR000003,LA007497,6,agent,loan_query,"Hello, The foreclosure letter will be sent to your registered email. A copy of the letter can also be collected from the branch. https://loanserve.example.in/help/kyc Regards."
THR000004,LA016749,1,customer,complaint,Dear Sir A charge of Rs 1180 has been debited on my vehicle loan and I was never told about this charge. Please explain why this charge was taken.
THR000004,LA016749,2,agent,complaint,"Dear madam, TKT741360 - The charge of Rs 1180 on your vehicle loan is a late payment charge. It was applied because the april emi was paid after the due date. Thanks and regards."
THR000004,LA016749,3,customer,complaint,"SR917115 - The emi was late because your own mandate failed. Why should a charge be taken from me for a failure at your end?
Sent from my iPhone"
THR000004,LA016749,4,agent,complaint,"Dear sir, TKT737997 - You are right that the mandate failure was at our end. The charge of Rs 1180 is being reversed on your vehicle loan. Regards.
Best regards,
Arjun Menon
Customer Service"
THR000005,LA007846,1,customer,kyc,"Hello, My personal loan application is on hold. The salary slip I uploaded was rejected. Can you tell me why the salary slip was rejected? Thanks in advance.
--
Kavita Joshi
Customer"
THR000005,LA007846,2,agent,kyc,SR232354 - The salary slip was rejected because the scanned copy was not clearly readable. Please upload a fresh copy of the salary slip from your registered login. Thank you.
THR000005,LA007846,3,customer,kyc,"My reference is LA007846. I have uploaded the salary slip again today. How many days does salary slip verification take? www.loanserve.example.in/upload
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000005,LA007846,4,agent,kyc,"Your salary slip is now under verification. A fresh salary slip is normally verified within three working days. Thank you.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000005,LA007846,5,customer,kyc,My reference is LA007846. Will my personal loan sanction be delayed because the salary slip was rejected once?
THR000005,LA007846,6,agent,kyc,"Hello, REF926593 - The personal loan sanction will move ahead as soon as the salary slip is verified. No further delay is expected on your personal loan application. Thank you.
On Mon, 12 May 2026, LoanServe Support wrote:
> Please share the document once more."
THR000006,LA020962,1,customer,payment_issue,"Dear madam, My reference is LA020962. I want to prepay Rs 200,000 on my home loan. Does a part prepayment reduce the emi or the tenure?
Sent from my iPhone"
THR000006,LA020962,2,agent,payment_issue,"A part prepayment of Rs 200,000 can reduce either the emi or the tenure on your home loan. You have to tell us which of the two you want. Thanks and regards."
THR000006,LA020962,3,customer,payment_issue,"Respected sir, My reference is LA020962. Please reduce the tenure and keep the emi as it is. Is there a prepayment charge on my home loan? Thanks in advance."
THR000006,LA020962,4,agent,payment_issue,"This is regarding application LA020962. There is no prepayment charge on a floating rate home loan. The tenure will reduce once the prepayment of Rs 200,000 is received. Regards.
Thanks and regards,
Deepa Pillai
LoanServe Support"
THR000007,LA025265,1,customer,loan_query,My reference is LA025265. SR340229 - Is my home loan eligible for a moratorium? My income has stopped for a few months and I cannot pay the emi.
THR000007,LA025265,2,agent,loan_query,"Dear sir, This is regarding application LA025265. A moratorium on your home loan is considered case by case. Interest keeps adding during the moratorium, so the tenure on your home loan goes up. Thank you.
Thanks and regards,
Anita Desai
LoanServe Support"
THR000007,LA025265,3,customer,loan_query,Dear Sir My reference is LA025265. CASE557986 - I understand that the tenure will go up. What do I have to submit to apply for the moratorium? Thanks in advance.
THR000007,LA025265,4,agent,loan_query,REF612723 - Please submit a written request along with proof of the income loss. The moratorium on your home loan is decided within two working days.
THR000008,LA011348,1,customer,complaint,"Hello, My reference is LA011348. TKT704850 - I have written about my personal loan three times and nobody has replied. This is the fourth time I am writing about the same issue."
THR000008,LA011348,2,agent,complaint,"Hello, SR152257 - We are sorry that your earlier mails on the personal loan went unanswered. Your issue has been escalated to the service manager. Thanks and regards."
THR000008,LA011348,3,customer,complaint,"Hello, Escalation is fine but I still have no answer on my personal loan. When will somebody actually reply with an answer?
Sent from my iPhone"
THR000008,LA011348,4,agent,complaint,The service manager will call you on your registered number within five working days. The answer on your personal loan will be given on that call. https://loanserve.example.in/help/kyc
THR000009,LA027637,1,customer,kyc,"Respected sir, My kyc is showing as incomplete on my personal loan. The name printed on my income proof does not match the name in your records. Awaitng your response.
--
Arjun Menon
Customer"
THR000009,LA027637,2,agent,kyc,"Dear sir, This is regarding application LA027637. The name mismatch on your income proof is the reason the kyc is incomplete. Please share a income proof that carries the corrected name."
THR000009,LA027637,3,customer,kyc,Dear Sir My reference is LA027637. I have attached the corrected income proof with the right name. Does anything else have to change for the kyc?
THR000009,LA027637,4,agent,kyc,"Dear customer, The corrected income proof has been received and sent for checking. Nothing else is pending on your kyc right now.
Thanks and regards,
Suresh Iyer
LoanServe Support"
THR000009,LA027637,5,customer,kyc,How will I know when the kyc is marked complete?
