thread_id,messages,sentences,summary
THR000001,4,10,why is the same salary slip being asked for again. a salary slip has to be submitted again for this gold loan. the branch will scan the salary slip and attach it to your gold loan application.
THR000002,6,14,i want to change my emi date to the 7th of the month. is there any charge for changing the emi date. the new emi date will show in your account once the fresh mandate is active.
THR000003,6,14,sr369702 - for a balance transfer of your gold loan we issue a foreclosure letter. is there a charge for the balance transfer. please issue the foreclosure letter for my gold loan.
THR000004,4,8,a charge of rs 1180 has been debited on my vehicle loan and i was never told about this charge. tkt741360 - the charge of rs 1180 on your vehicle loan is a late payment charge. the charge of rs 1180 is being reversed on your vehicle loan.
THR000005,6,14,the salary slip i uploaded was rejected. sr232354 - the salary slip was rejected because the scanned copy was not clearly readable. will my personal loan sanction be delayed because the salary slip was rejected once.
THR000006,4,11,"a part prepayment of rs 200,000 can reduce either the emi or the tenure on your home loan. is there a prepayment charge on my home loan. the tenure will reduce once the prepayment of rs 200,000 is received."
THR000007,4,11,my reference is <application_ref>. sr340229 - is my home loan eligible for a moratorium. my reference is <application_ref>.
THR000008,4,9,escalation is fine but i still have no answer on my personal loan. the service manager will call you on your registered number within five working days. the answer on your personal loan will be given on that call.
THR000009,6,13,the name printed on my income proof does not match the name in your records. the name mismatch on your income proof is the reason the kyc is incomplete. i have attached the corrected income proof with the right name.
THR000010,6,13,i want to change my emi date to the 5th of the month. the emi date can be moved to the 5th from the next cycle. the new emi date will show in your account once the fresh mandate is active.
THR000011,4,11,is there a charge for the balance transfer. this is regarding application <application_ref>. there is no charge on a floating rate gold loan for a balance transfer.
THR000012,4,9,the rate in the sanction letter is the rate that applies to your personal loan. i took the personal loan only because of the rate i was quoted. the rate quoted to you was the card rate before your profile was scored.
THR000013,6,13,the address proof i uploaded was rejected. sr323221 - the address proof was rejected because only one page of the document was uploaded. case436655 - will my home loan sanction be delayed because the address proof was rejected once.
THR000014,6,13,the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. tkt634505 - the february emi will be presented again once the fresh mandate is active.
THR000015,6,15,for a balance transfer of your home loan we issue a foreclosure letter. is there a charge for the balance transfer. sr994444 - please issue the foreclosure letter for my home loan.
THR000016,6,14,sr589799 - the branch told me one interest rate on my personal loan and the sanction letter shows a different rate. the rate in the sanction letter is the rate that applies to your personal loan. i took the personal loan only because of the rate i was quoted.
THR000017,4,8,sr397911 - i was asked for a income proof for my gold loan but i have already submitted it once. a income proof has to be submitted again for this gold loan. the branch will scan the income proof and attach it to your gold loan application.
THR000018,6,13,case409873 - the emi bounced because the mandate on your bank account has expired. a fresh mandate has to be registered before the next emi is presented. the january emi will be presented again once the fresh mandate is active.
THR000019,4,9,"is my personal loan eligible for a moratorium. interest keeps adding during the moratorium, so the tenure on your personal loan goes up. the moratorium on your personal loan is decided within five working days."
THR000020,6,15,this is regarding application <application_ref>. i received the call and the issue on my gold loan is clear now. this is regarding application <application_ref>.
